Country,League,LeagueLevel
Saint Kitts and Nevis,SPARE,255
Saint Kitts and Nevis,NON-LEAGUE,256
Saint Kitts and Nevis,Unavailable,257
Saint Lucia,SLFA First Division 2024,1
Saint Lucia,SPARE,255
Saint Lucia,NON-LEAGUE,256
Saint Lucia,Unavailable,257
Saint Pierre and Miquelon,Unavailable,257
Saint Vincent and the Grenadines,Vincy Premier League,1
Saint Vincent and the Grenadines,SPARE,255
Saint Vincent and the Grenadines,NON-LEAGUE,256
Saint Vincent and the Grenadines,Unavailable,257
Saint-Martin,Unavailable,257
Samoa,Samoan National League,1
Samoa,SPARE,255
Samoa,NON-LEAGUE,256
Samoa,Unavailable,257
San Marino,Campionato Sammarinese,1
San Marino,NON-LEAGUE,256
San Marino,Unavailable,257
São Tomé & Príncipe,São Toméan Football Premier Division,1
São Tomé & Príncipe,SPARE,255
São Tomé & Príncipe,NON-LEAGUE,256
São Tomé & Príncipe,Unavailable,257
Saudi Arabia,Roshn Saudi League,1
Saudi Arabia,Yelo League,2
Saudi Arabia,SPARE,255
Saudi Arabia,NON-LEAGUE,256
Saudi Arabia,Unavailable,257
Scotland,Ladbrokes Premiership,1
Scotland,Ladbrokes Championship,2
Scotland,Ladbrokes League One,3
Scotland,Ladbrokes League Two,4
Scotland,Breedon Highland League,5
Scotland,GeoSonic Lowland League,6
Scotland,SPARE,255
Scotland,NON-LEAGUE,256
Scotland,Unavailable,257
Senegal,Ligue 1 StarTimes,1
Senegal,SPARE,255
Senegal,NON-LEAGUE,256
Senegal,Unavailable,257
Serbia,Linglong Tire Super liga,1
Serbia,Prva liga Srbije,2
Serbia,Srpska liga Zapad,3
Serbia,Srpska liga Vojvodina,4
Serbia,Srpska liga Beograd,5
Serbia,Srpska liga Istok,6
Serbia,SPARE,255
Serbia,NON-LEAGUE,256
Serbia,Unavailable,257
Seychelles,Barclays Division One,1
Seychelles,SPARE,255
Seychelles,NON-LEAGUE,256
Seychelles,Unavailable,257
Sierra Leone,Sierra Leone National Premier League,1
Sierra Leone,SPARE,255
Sierra Leone,NON-LEAGUE,256
Sierra Leone,Unavailable,257
Singapore,AIA Singapore Premier League,1
Singapore,SPARE,255
Singapore,NON-LEAGUE,256
Singapore,Unavailable,257
Sint Maarten,Unavailable,257
Slovakia,Fortuna Liga,1
Slovakia,Druhá Futbalová Liga,2
Slovakia,SPARE,255
Slovakia,NON-LEAGUE,256
Slovakia,Unavailable,257
Slovenia,PrvaLiga Telekom Slovenije,1
Slovenia,2. Slovenska Nogometna Liga,2
Slovenia,3. Slovenska Nogometna Liga Vzhod,3
Slovenia,3. Slovenska Nogometna Liga Zahod,4
Slovenia,SPARE,255
Slovenia,NON-LEAGUE,256
Slovenia,Unavailable,257
Somalia,Somali National League,1
Somalia,SPARE,255
Somalia,NON-LEAGUE,256
Somalia,Unavailable,257
South Africa,DSTV Premiership,1
South Africa,Motsepe Foundation Championship,2
South Africa,SPARE,255
South Africa,NON-LEAGUE,256
South Africa,Unavailable,257
South Sudan,Unavailable,257
Soviet Union,Unavailable,257
Spain,LaLiga Santander,1
Spain,LaLiga SmartBank,2
Spain,Primera División RFEF Grupo I,3
Spain,Primera División RFEF Grupo II,4
Spain,Segunda División RFEF Grupo I,5
Spain,Segunda División RFEF Grupo II,6
Spain,Segunda División RFEF Grupo III,7
Spain,Segunda División RFEF Grupo IV,8
Spain,Segunda División RFEF Grupo V,9
Spain,Tercera División RFEF Grupo I - Galicia,10
Spain,Tercera División Grupo II - Asturias,11
Spain,Tercera División Grupo III - Cantabria,12
Spain,Tercera División Grupo IV - País Vasco,13
Spain,Tercera División Grupo V - Cataluña,14
Spain,Tercera División Grupo VI - Comunidad Valenciana,15
Spain,Tercera División Grupo VII - Comunidad de Madrid,16
Spain,Tercera División Grupo VIII - Castilla y León,17
Spain,Tercera División Grupo IX - Andalucía Oriental y Melilla,18
Spain,Tercera División Grupo X - Andalucía Occidental y Ceuta,19
Spain,Tercera División Grupo XI - Islas Baleares,20
Spain,Tercera División Grupo XII - Islas Canarias,21
Spain,Tercera División Grupo XIII - Región de Murcia,22
Spain,Tercera División Grupo XIV - Extremadura,23
Spain,Tercera División Grupo XV - Navarra,24
Spain,Tercera División Grupo XVI - La Rioja,25
Spain,Tercera División Grupo XVII - Aragón,26
Spain,Tercera División Grupo XVIII - Castilla-La Mancha,27
Spain,SPARE,255
Spain,NON-LEAGUE,256
Spain,Unavailable,257
Sri Lanka,SPARE,255
Sri Lanka,NON-LEAGUE,256
Sri Lanka,Unavailable,257
Sudan,SPARE,255
Sudan,NON-LEAGUE,256
Sudan,Unavailable,257
Suriname,SVB Eerste Divisie,1
Suriname,SPARE,255
Suriname,NON-LEAGUE,256
Suriname,Unavailable,257
Sweden,Allsvenskan,1
Sweden,Superettan,2
Sweden,Division 1 Södra,3
Sweden,Division 1 Norra,4
Sweden,Division 2 Norrland,5
Sweden,Division 2 Norra Svealand,6
Sweden,Division 2 Södra Svealand,7
Sweden,Division 2 Norra Götaland,8
Sweden,Division 2 Södra Götaland,9
Sweden,Division 2 Västra Götaland,10
Sweden,SPARE,255
Sweden,NON-LEAGUE,256
Sweden,Unavailable,257
Switzerland,Credit Suisse Super League,1
Switzerland,dieci Challenge League,2
Switzerland,Hoval Promotion League,3
Switzerland,Erste Liga Gruppe 1,4
Switzerland,Erste Liga Gruppe 2,5
Switzerland,Erste Liga Gruppe 3,6
Switzerland,2. Liga Interregional Gruppe 1,7
Switzerland,2. Liga Interregional Gruppe 2,8
Switzerland,2. Liga Interregional Gruppe 3,9
Switzerland,2. Liga Interregional Gruppe 4,10
Switzerland,SPARE,255
Switzerland,NON-LEAGUE,256
Switzerland,Unavailable,257
Syria,FASF Premier League,1
Syria,SPARE,255
Syria,NON-LEAGUE,256
Syria,Unavailable,257
Tahiti,Ligue 1 Vini,1
Tahiti,SPARE,255
Tahiti,NON-LEAGUE,256
Tahiti,Unavailable,257
Tajikistan,Tochikiston Vyschaya Liga,1
Tajikistan,SPARE,255
Tajikistan,NON-LEAGUE,256
Tajikistan,Unavailable,257
Tanzania,Vodacom Tanzania Premier League,1
Tanzania,SPARE,255
Tanzania,NON-LEAGUE,256
Tanzania,Unavailable,257
Thailand,Toyota Thai League,1
Thailand,Thai League 2 M-150 Championship,2
Thailand,Thai League Three Western Region,3
Thailand,Thai League Three Northern Region,4
Thailand,Thai League Three North Eastern Region,5
Thailand,Thai League Three Bangkok Perimeter Region,6
Thailand,Thai League Three Southern Region,7
Thailand,Thai League Three Eastern Region,8
Thailand,SPARE,255
Thailand,NON-LEAGUE,256
Thailand,Unavailable,257
The Bahamas,BFA Senior League,1
The Bahamas,SPARE,255
The Bahamas,NON-LEAGUE,256
The Bahamas,Unavailable,257
The British Virgin Islands,BVIFA National League,1
The British Virgin Islands,NON-LEAGUE,256
The British Virgin Islands,Unavailable,257
The Cayman Islands,CIFA Men's Premier League,1
The Cayman Islands,SPARE,255
The Cayman Islands,NON-LEAGUE,256
The Cayman Islands,Unavailable,257
The Cook Islands,SPARE,255
The Cook Islands,NON-LEAGUE,256
The Cook Islands,Unavailable,257
The Czech Republic,Unavailable,257
The Democratic People's Republic of Korea,DPR Korea Premier Football League,1
The Democratic People's Republic of Korea,SPARE,255
The Democratic People's Republic of Korea,NON-LEAGUE,256
The Democratic People's Republic of Korea,Unavailable,257
The Democratic Republic of the Congo,Vodacom Ligue 1,1
The Democratic Republic of the Congo,SPARE,255
The Democratic Republic of the Congo,NON-LEAGUE,256
The Democratic Republic of the Congo,Unavailable,257
The Dominican Republic,Liga Dominicana de Fútbol,1
The Dominican Republic,SPARE,255
The Dominican Republic,NON-LEAGUE,256
The Dominican Republic,Unavailable,257
The Faroe Islands,Betrideildin,1
The Faroe Islands,1. Deild,2
The Faroe Islands,SPARE,255
The Faroe Islands,NON-LEAGUE,256
The Faroe Islands,Unavailable,257
The Gambia,GFA League First Division,1
The Gambia,SPARE,255
The Gambia,NON-LEAGUE,256
The Gambia,Unavailable,257
The German Democratic Republic,Unavailable,257
The Islamic Republic of Iran,Persian Gulf Pro League,1
The Islamic Republic of Iran,Azadegan League,2
The Islamic Republic of Iran,Iranian 2nd Division - Group A,3
The Islamic Republic of Iran,Iranian 2nd Division - Group B,4
The Islamic Republic of Iran,SPARE,255
The Islamic Republic of Iran,NON-LEAGUE,256
The Islamic Republic of Iran,Unavailable,257
The Kingdom of Great Britain,Unavailable,257
The Kyrgyz Republic,SHORO Top-Liga,1
The Kyrgyz Republic,SPARE,255
The Kyrgyz Republic,NON-LEAGUE,256
The Kyrgyz Republic,Unavailable,257
The Netherlands,Eredivisie,1
The Netherlands,Keuken Kampioen Divisie,2
The Netherlands,Tweede Divisie,3
The Netherlands,Derde Divisie A,4
The Netherlands,Derde Divisie B,5
The Netherlands,Vierde divisie A,6
The Netherlands,Vierde divisie B,7
The Netherlands,Vierde divisie C,8
The Netherlands,Vierde divisie D,9
The Netherlands,SPARE,255
The Netherlands,NON-LEAGUE,256
The Netherlands,Unavailable,257
The People's Republic of China,Ping An CFA Super League,1
The People's Republic of China,58.com CFA Jia League,2
The People's Republic of China,CFA Division Two League Division North,3
The People's Republic of China,CFA Division Two League Division South,4
The People's Republic of China,SPARE,255
The People's Republic of China,NON-LEAGUE,256
The People's Republic of China,Unavailable,257
The Republic of Crimea,Unavailable,257
The Republic of Ireland,SSE Aitricity Premier Division,1
The Republic of Ireland,SSE Airtricity First Division,2
The Republic of Ireland,SPARE,255
The Republic of Ireland,NON-LEAGUE,256
The Republic of Ireland,Unavailable,257
The Republic of Korea,KEB Hana Bank K League 1,1
The Republic of Korea,KEB Hana Bank K League 2,2
The Republic of Korea,K3 League,3
The Republic of Korea,K4 League,4
The Republic of Korea,SPARE,255
The Republic of Korea,NON-LEAGUE,256
The Republic of Korea,Unavailable,257
The Republic of North Macedonia,Prva Makedonska Liga,1
The Republic of North Macedonia,Vtora Makedonska Liga,2
The Republic of North Macedonia,SPARE,255
The Republic of North Macedonia,NON-LEAGUE,256
The Republic of North Macedonia,Unavailable,257
The Republic of the Congo,Championnat National MTN,1
The Republic of the Congo,SPARE,255
The Republic of the Congo,NON-LEAGUE,256
The Republic of the Congo,Unavailable,257
The Solomon Islands,Telekom S-League,1
The Solomon Islands,SPARE,255
The Solomon Islands,NON-LEAGUE,256
The Solomon Islands,Unavailable,257
The Territory of Wallis and Futuna Islands,Unavailable,257
The Turks & Caicos Islands,Provo Premier League,1
The Turks & Caicos Islands,SPARE,255
The Turks & Caicos Islands,Unavailable,257
The United Arab Emirates,Arabian Gulf League,1
The United Arab Emirates,UAE First Division League,2
The United Arab Emirates,SPARE,255
The United Arab Emirates,NON-LEAGUE,256
The United Arab Emirates,Unavailable,257
The United States of America,Major League Soccer,1
The United States of America,United Soccer League Western Conference,2
The United States of America,United Soccer League Eastern Conference,3
The United States of America,United Soccer League One,4
The United States of America,Major League Soccer Next Pro Western Conference,5
The United States of America,Major League Soccer Next Pro Eastern Conference,6
The United States of America,SPARE,255
The United States of America,NON-LEAGUE,256
The United States of America,Unavailable,257
The United States Virgin Islands,SPARE,255
The United States Virgin Islands,NON-LEAGUE,256
The United States Virgin Islands,Unavailable,257
Togo,Championnat National de Première Division,1
Togo,SPARE,255
Togo,NON-LEAGUE,256
Togo,Unavailable,257
Tonga,Tonga Major League - Premier Division,1
Tonga,SPARE,255
Tonga,NON-LEAGUE,256
Tonga,Unavailable,257
Trinidad and Tobago,TT Premier Football League 2024/25,1
Trinidad and Tobago,SPARE,255
Trinidad and Tobago,NON-LEAGUE,256
Trinidad and Tobago,Unavailable,257
Tunisia,Championnat de la Ligue Professionnelle 1,1
Tunisia,SPARE,255
Tunisia,NON-LEAGUE,256
Tunisia,Unavailable,257
Türkiye,Süper Lig,1
Türkiye,TFF 1. Lig,2
Türkiye,TFF 2. Lig Beyaz Grup,3
Türkiye,TFF 2. Lig Kırmızı Grup,4
Türkiye,TFF 3. Lig 1. Grup,5
Türkiye,TFF 3. Lig 2. Grup,6
Türkiye,TFF 3. Lig 3. Grup,7
Türkiye,TFF 3. Lig 4. Grup,8
Türkiye,SPARE,255
Türkiye,NON-LEAGUE,256
Türkiye,Unavailable,257
Turkmenistan,Эokary Ligasy,1
Turkmenistan,SPARE,255
Turkmenistan,NON-LEAGUE,256
Turkmenistan,Unavailable,257
Tuvalu,Unavailable,257
Uganda,StarTimes Uganda Premier League,1
Uganda,SPARE,255
Uganda,NON-LEAGUE,256
Uganda,Unavailable,257
Ukraine,VBet Liha,1
Ukraine,Persha Liha A,2
Ukraine,Persha Liha B,3
Ukraine,Druha Liha A,4
Ukraine,Druha Liha B,5
Ukraine,SPARE,255
Ukraine,NON-LEAGUE,256
Ukraine,Unavailable,257
Uruguay,Campeonato Uruguayo Copa Coca-Cola,1
Uruguay,Segunda Division Profesional,2
Uruguay,PRIMERA DIVISION AMATEUR Apertura Group A,3
Uruguay,PRIMERA DIVISION AMATEUR Apertura Group B,4
Uruguay,PRIMERA DIVISION AMATEUR Apertura Group C,5
Uruguay,PRIMERA DIVISION AMATEUR Apertura Group D,6
Uruguay,PRIMERA DIVISION AMATEUR Apertura Group E,7
Uruguay,SPARE,255
Uruguay,NON-LEAGUE,256
Uruguay,Unavailable,257
Uzbekistan,Coca-Cola O'zbekiston Superligasi,1
Uzbekistan,Uzbekistan Pro A League,2
Uzbekistan,Birinchi Liga Sharq,3
Uzbekistan,Birinchi Liga G'arb,4
Uzbekistan,SPARE,255
Uzbekistan,NON-LEAGUE,256
Uzbekistan,Unavailable,257
Vanuatu,VFF Champions League,1
Vanuatu,SPARE,255
Vanuatu,NON-LEAGUE,256
Vanuatu,Unavailable,257
Venezuela,Liga FUTVE,1
Venezuela,CENTRO ORIENTAL,2
Venezuela,OCCIDENTAL,3
Venezuela,SPARE,255
Venezuela,NON-LEAGUE,256
Venezuela,Unavailable,257
Vietnam,V.League 1,1
Vietnam,V.League 2,2
Vietnam,SPARE,255
Vietnam,NON-LEAGUE,256
Vietnam,Unavailable,257
Wales,JD Cymru Premier,1
Wales,JD Cymru North,2
Wales,JD Cymru South,3
Wales,SPARE,255
Wales,NON-LEAGUE,256
Wales,Unavailable,257
Yemen,SPARE,255
Yemen,NON-LEAGUE,256
Yemen,Unavailable,257
Yugoslavia,Unavailable,257
Zambia,MTN/FAZ Super Division,1
Zambia,SPARE,255
Zambia,NON-LEAGUE,256
Zambia,Unavailable,257
Zanzibar,NON-LEAGUE,256
Zanzibar,Unavailable,257
Zimbabwe,Castle Lager Premier Soccer League,1
Zimbabwe,SPARE,255
Zimbabwe,NON-LEAGUE,256
Zimbabwe,Unavailable,257
